Protein_ID	Annotation
Dcor_evm.model.hic_scaffold_6_pilon.293	H/ACA ribonucleoprotein complex subunit 4
Dcor_evm.model.hic_scaffold_6_pilon.294	PREDICTED: uncharacterized protein LOC108559077 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.295	Ubiquitin-conjugating enzyme E2 G2
Dcor_evm.model.hic_scaffold_6_pilon.296	60S ribosomal protein L38
Dcor_evm.model.hic_scaffold_6_pilon.297	Tubulin alpha-1 chain
Dcor_evm.model.hic_scaffold_6_pilon.298	Nucleolar protein 58
Dcor_evm.model.hic_scaffold_6_pilon.299	PREDICTED: leucine-rich repeat-containing protein 15-like
Dcor_evm.model.hic_scaffold_6_pilon.3	Adenylate and Guanylate cyclase
Dcor_evm.model.hic_scaffold_6_pilon.30	PREDICTED: translation initiation factor IF-2
Dcor_evm.model.hic_scaffold_6_pilon.300	Transmembrane protein 234 homolog
Dcor_evm.model.hic_scaffold_6_pilon.301	Vacuolar protein sorting-associated protein 45
Dcor_evm.model.hic_scaffold_6_pilon.302	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.303	Mitochondrial import inner membrane translocase subunit Tim29
Dcor_evm.model.hic_scaffold_6_pilon.304	Isoleucine--tRNA ligase, mitochondrial (Fragment) 
Dcor_evm.model.hic_scaffold_6_pilon.305	Phosphatidylinositol-binding clathrin assembly protein LAP
Dcor_evm.model.hic_scaffold_6_pilon.306	Probable arginine--tRNA ligase, mitochondrial 
Dcor_evm.model.hic_scaffold_6_pilon.307	28S ribosomal protein S9, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.308	Transient receptor potential channel pyrexia
Dcor_evm.model.hic_scaffold_6_pilon.309	28S ribosomal protein S9, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.31	uncharacterized protein LOC111504927 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.310	Caskin-1
Dcor_evm.model.hic_scaffold_6_pilon.311	Caskin-2
Dcor_evm.model.hic_scaffold_6_pilon.312	FMRFamide receptor
Dcor_evm.model.hic_scaffold_6_pilon.313	PREDICTED: E3 SUMO-protein ligase SIZ1
Dcor_evm.model.hic_scaffold_6_pilon.314	28S ribosomal protein S28, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.315	PREDICTED: uncharacterized protein LOC108563594
Dcor_evm.model.hic_scaffold_6_pilon.316	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.317	uncharacterized protein LOC108907938
Dcor_evm.model.hic_scaffold_6_pilon.318	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.319	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.32	uncharacterized protein LOC111504927 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.320	PREDICTED: putative uncharacterized protein DDB_G0274435 isoform X2
Dcor_evm.model.hic_scaffold_6_pilon.321	DNA-directed RNA polymerase III subunit RPC8
Dcor_evm.model.hic_scaffold_6_pilon.322	F-box/LRR-repeat protein 16
Dcor_evm.model.hic_scaffold_6_pilon.323	PREDICTED: uncharacterized protein LOC108565509
Dcor_evm.model.hic_scaffold_6_pilon.324	G-protein-signaling modulator 2
Dcor_evm.model.hic_scaffold_6_pilon.325	Putative fatty acyl-CoA reductase CG5065
Dcor_evm.model.hic_scaffold_6_pilon.326	Probable cytochrome P450 305a1
Dcor_evm.model.hic_scaffold_6_pilon.327	Probable cytochrome P450 305a1
Dcor_evm.model.hic_scaffold_6_pilon.328	Palmitoyltransferase ZDHHC3
Dcor_evm.model.hic_scaffold_6_pilon.329	Transmembrane protein 208
Dcor_evm.model.hic_scaffold_6_pilon.33	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.330	Alpha-tocopherol transfer protein-like
Dcor_evm.model.hic_scaffold_6_pilon.331	General transcription and DNA repair factor IIH helicase subunit XPD
Dcor_evm.model.hic_scaffold_6_pilon.332	Cytochrome c oxidase subunit 6B1
Dcor_evm.model.hic_scaffold_6_pilon.333	NHP2-like protein 1 
Dcor_evm.model.hic_scaffold_6_pilon.334	Chitobiosyldiphosphodolichol beta-mannosyltransferase
Dcor_evm.model.hic_scaffold_6_pilon.335	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.336	PREDICTED: adenylate cyclase, terminal-differentiation specific
Dcor_evm.model.hic_scaffold_6_pilon.337	Cytochrome c
Dcor_evm.model.hic_scaffold_6_pilon.338	Craniofacial development protein 2
Dcor_evm.model.hic_scaffold_6_pilon.339	Transposon TX1 uncharacterized 149 kDa protein
Dcor_evm.model.hic_scaffold_6_pilon.34	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.340	Rho guanine nucleotide exchange factor 11
Dcor_evm.model.hic_scaffold_6_pilon.341	Intraflagellar transport protein 22 homolog
Dcor_evm.model.hic_scaffold_6_pilon.342	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.343	B9 domain-containing protein 2
Dcor_evm.model.hic_scaffold_6_pilon.344	B9 domain-containing protein 2
Dcor_evm.model.hic_scaffold_6_pilon.345	B9 domain-containing protein 2
Dcor_evm.model.hic_scaffold_6_pilon.346	Serine/threonine-protein kinase Genghis Khan
Dcor_evm.model.hic_scaffold_6_pilon.347	Probable ATP-dependent RNA helicase DDX5
Dcor_evm.model.hic_scaffold_6_pilon.348	Probable ATP-dependent RNA helicase DDX17
Dcor_evm.model.hic_scaffold_6_pilon.349	RNA-binding region-containing protein 3
Dcor_evm.model.hic_scaffold_6_pilon.35	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.350	Vacuolar protein sorting-associated protein 8 homolog
Dcor_evm.model.hic_scaffold_6_pilon.351	myosin heavy chain, cardiac muscle isoform
Dcor_evm.model.hic_scaffold_6_pilon.352	Ubiquitin carboxyl-terminal hydrolase 38
Dcor_evm.model.hic_scaffold_6_pilon.353	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.354	N-acetylgalactosamine kinase
Dcor_evm.model.hic_scaffold_6_pilon.355	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.356	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.357	Homeobox protein caupolican
Dcor_evm.model.hic_scaffold_6_pilon.358	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.359	Homeobox protein araucan
Dcor_evm.model.hic_scaffold_6_pilon.36	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.360	uncharacterized protein LOC108742444
Dcor_evm.model.hic_scaffold_6_pilon.361	uncharacterized protein LUCCR_16510
Dcor_evm.model.hic_scaffold_6_pilon.362	Histone-lysine N-methyltransferase SETMAR
Dcor_evm.model.hic_scaffold_6_pilon.363	Protein furry
Dcor_evm.model.hic_scaffold_6_pilon.364	hypothetical protein AMK59_29
Dcor_evm.model.hic_scaffold_6_pilon.365	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
Dcor_evm.model.hic_scaffold_6_pilon.366	Eukaryotic translation initiation factor 2 subunit 2
Dcor_evm.model.hic_scaffold_6_pilon.367	Uncharacterized aarF domain-containing protein kinase 5
Dcor_evm.model.hic_scaffold_6_pilon.368	hypothetical protein AMK59_2939
Dcor_evm.model.hic_scaffold_6_pilon.369	Rac guanine nucleotide exchange factor JJ
Dcor_evm.model.hic_scaffold_6_pilon.37	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.370	Uncharacterized protein F13E9.13, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.371	Bis(5'-adenosyl)-triphosphatase enpp4
Dcor_evm.model.hic_scaffold_6_pilon.372	Aurora kinase A-A
Dcor_evm.model.hic_scaffold_6_pilon.373	Transient receptor potential cation channel subfamily A member 1
Dcor_evm.model.hic_scaffold_6_pilon.374	Otoferlin
Dcor_evm.model.hic_scaffold_6_pilon.375	Protein G12
Dcor_evm.model.hic_scaffold_6_pilon.376	LIM/homeobox protein Lhx9
Dcor_evm.model.hic_scaffold_6_pilon.377	Protein apterous
Dcor_evm.model.hic_scaffold_6_pilon.378	PREDICTED: uncharacterized protein LOC107066462 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.379	PREDICTED: zinc finger MYM-type protein 1-like
Dcor_evm.model.hic_scaffold_6_pilon.38	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.380	Putative uncharacterized transposon-derived protein F52C9.6
Dcor_evm.model.hic_scaffold_6_pilon.381	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.382	hypothetical protein TcasGA2_TC031070
Dcor_evm.model.hic_scaffold_6_pilon.383	PREDICTED: leucine-rich repeat-containing protein let-4-like
Dcor_evm.model.hic_scaffold_6_pilon.384	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.385	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase
Dcor_evm.model.hic_scaffold_6_pilon.386	PREDICTED: uncharacterized protein PFB0145c
Dcor_evm.model.hic_scaffold_6_pilon.387	PREDICTED: rab11 family-interacting protein 4A isoform X2
Dcor_evm.model.hic_scaffold_6_pilon.388	PREDICTED: mpv17-like protein
Dcor_evm.model.hic_scaffold_6_pilon.389	Mpv17-like protein
Dcor_evm.model.hic_scaffold_6_pilon.39	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.390	PREDICTED: uncharacterized protein LOC108563313
Dcor_evm.model.hic_scaffold_6_pilon.391	PREDICTED: uncharacterized protein LOC108563313
Dcor_evm.model.hic_scaffold_6_pilon.392	PREDICTED: uncharacterized protein LOC108563313
Dcor_evm.model.hic_scaffold_6_pilon.393	PREDICTED: uncharacterized protein LOC108562770
Dcor_evm.model.hic_scaffold_6_pilon.394	transmembrane protein 42-like
Dcor_evm.model.hic_scaffold_6_pilon.395	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.396	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment)
Dcor_evm.model.hic_scaffold_6_pilon.397	Protein phosphatase 1 regulatory subunit 16A
Dcor_evm.model.hic_scaffold_6_pilon.398	Peptide methionine sulfoxide reductase
Dcor_evm.model.hic_scaffold_6_pilon.399	Ancient ubiquitous protein 1
Dcor_evm.model.hic_scaffold_6_pilon.4	Adenylate cyclase type 9
Dcor_evm.model.hic_scaffold_6_pilon.40	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.400	Esterase AAEL000016
Dcor_evm.model.hic_scaffold_6_pilon.401	Ribonuclease H1
Dcor_evm.model.hic_scaffold_6_pilon.402	PREDICTED: uncharacterized protein LOC109535664
Dcor_evm.model.hic_scaffold_6_pilon.403	Sodium-dependent neutral amino acid transporter B(0)AT2
Dcor_evm.model.hic_scaffold_6_pilon.404	Sodium-dependent neutral amino acid transporter B(0)AT3
Dcor_evm.model.hic_scaffold_6_pilon.405	Cubilin
Dcor_evm.model.hic_scaffold_6_pilon.406	Cubilin
Dcor_evm.model.hic_scaffold_6_pilon.407	Gamma-glutamyl hydrolase
Dcor_evm.model.hic_scaffold_6_pilon.408	Alanine--glyoxylate aminotransferase 2, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.409	Chitooligosaccharidolytic beta-N-acetylglucosaminidase
Dcor_evm.model.hic_scaffold_6_pilon.41	hypothetical protein ALC62_05268
Dcor_evm.model.hic_scaffold_6_pilon.410	Dorsal root ganglia homeobox protein
Dcor_evm.model.hic_scaffold_6_pilon.411	Palmitoyl-protein thioesterase 1
Dcor_evm.model.hic_scaffold_6_pilon.412	PREDICTED: uncharacterized protein LOC108565423
Dcor_evm.model.hic_scaffold_6_pilon.413	PRKCA-binding protein
Dcor_evm.model.hic_scaffold_6_pilon.414	Beta-1,3-glucan-binding protein (Fragment)
Dcor_evm.model.hic_scaffold_6_pilon.415	Beta-1,3-glucan-binding protein
Dcor_evm.model.hic_scaffold_6_pilon.416	Beta-1,3-glucan-binding protein
Dcor_evm.model.hic_scaffold_6_pilon.417	PREDICTED: unconventional myosin-IXa isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.418	Carcinine transporter
Dcor_evm.model.hic_scaffold_6_pilon.419	PREDICTED: uncharacterized protein LOC103314598
Dcor_evm.model.hic_scaffold_6_pilon.42	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.420	Probable RNA helicase armi
Dcor_evm.model.hic_scaffold_6_pilon.421	Probable RNA helicase armi
Dcor_evm.model.hic_scaffold_6_pilon.422	Transmembrane protein 170A
Dcor_evm.model.hic_scaffold_6_pilon.423	RAB11-binding protein RELCH homolog
Dcor_evm.model.hic_scaffold_6_pilon.424	D-aspartate oxidase
Dcor_evm.model.hic_scaffold_6_pilon.425	SRSF protein kinase 3
Dcor_evm.model.hic_scaffold_6_pilon.426	DNA replication factor Cdt1
Dcor_evm.model.hic_scaffold_6_pilon.427	Divergent protein kinase domain 1C
Dcor_evm.model.hic_scaffold_6_pilon.428	Juvenile hormone epoxide hydrolase 2
Dcor_evm.model.hic_scaffold_6_pilon.429	Juvenile hormone epoxide hydrolase 2
Dcor_evm.model.hic_scaffold_6_pilon.43	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.430	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.431	Eukaryotic translation initiation factor 3 subunit I
Dcor_evm.model.hic_scaffold_6_pilon.432	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase
Dcor_evm.model.hic_scaffold_6_pilon.433	PREDICTED: uncharacterized protein LOC108565754 isoform X2
Dcor_evm.model.hic_scaffold_6_pilon.434	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
Dcor_evm.model.hic_scaffold_6_pilon.435	E3 ubiquitin-protein ligase NRDP1
Dcor_evm.model.hic_scaffold_6_pilon.436	PREDICTED: uncharacterized protein LOC103312325
Dcor_evm.model.hic_scaffold_6_pilon.437	Laminin subunit alpha
Dcor_evm.model.hic_scaffold_6_pilon.438	Laminin subunit alpha
Dcor_evm.model.hic_scaffold_6_pilon.439	Laminin subunit alpha
Dcor_evm.model.hic_scaffold_6_pilon.44	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.440	PQ-loop repeat-containing protein 3
Dcor_evm.model.hic_scaffold_6_pilon.441	uncharacterized protein LOC111508673
Dcor_evm.model.hic_scaffold_6_pilon.442	PREDICTED: protein Jumonji
Dcor_evm.model.hic_scaffold_6_pilon.443	Protein Jumonji
Dcor_evm.model.hic_scaffold_6_pilon.444	Protein Jumonji
Dcor_evm.model.hic_scaffold_6_pilon.445	Solute carrier family 35 member C2
Dcor_evm.model.hic_scaffold_6_pilon.446	PREDICTED: breast cancer type 2 susceptibility protein homolog
Dcor_evm.model.hic_scaffold_6_pilon.447	Gag-Pol polyprotein
Dcor_evm.model.hic_scaffold_6_pilon.448	Adenosine 3'-phospho 5'-phosphosulfate transporter 2
Dcor_evm.model.hic_scaffold_6_pilon.449	Tyrosine-protein kinase Src64B
Dcor_evm.model.hic_scaffold_6_pilon.45	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_6_pilon.450	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.451	PREDICTED: uncharacterized protein LOC108562393
Dcor_evm.model.hic_scaffold_6_pilon.452	Multidrug resistance protein 1A
Dcor_evm.model.hic_scaffold_6_pilon.453	Regulator of MON1-CCZ1 complex
Dcor_evm.model.hic_scaffold_6_pilon.454	Puromycin-sensitive aminopeptidase
Dcor_evm.model.hic_scaffold_6_pilon.455	PREDICTED: uncharacterized protein LOC108563588
Dcor_evm.model.hic_scaffold_6_pilon.456	Histone deacetylase Rpd3
Dcor_evm.model.hic_scaffold_6_pilon.457	Neurexin-4
Dcor_evm.model.hic_scaffold_6_pilon.458	PREDICTED: uncharacterized protein LOC108566267
Dcor_evm.model.hic_scaffold_6_pilon.459	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.46	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.460	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.461	PREDICTED: uncharacterized protein LOC108565370
Dcor_evm.model.hic_scaffold_6_pilon.462	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.463	PAN2-PAN3 deadenylation complex subunit PAN3
Dcor_evm.model.hic_scaffold_6_pilon.464	Rap1 GTPase-GDP dissociation stimulator 1-B
Dcor_evm.model.hic_scaffold_6_pilon.465	Glycosyltransferase 25 family member
Dcor_evm.model.hic_scaffold_6_pilon.466	Twinkle protein, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.467	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.468	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.469	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.47	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.470	uncharacterized protein LUCCR_96910
Dcor_evm.model.hic_scaffold_6_pilon.471	uncharacterized protein LUCCR_96910
Dcor_evm.model.hic_scaffold_6_pilon.472	uncharacterized protein LUCCR_96910
Dcor_evm.model.hic_scaffold_6_pilon.473	PREDICTED: girdin-like
Dcor_evm.model.hic_scaffold_6_pilon.474	PREDICTED: uncharacterized protein LOC108557983
Dcor_evm.model.hic_scaffold_6_pilon.475	gliding motility-associated-like protein
Dcor_evm.model.hic_scaffold_6_pilon.476	Lysosomal alpha-mannosidase
Dcor_evm.model.hic_scaffold_6_pilon.477	Lysosomal alpha-mannosidase
Dcor_evm.model.hic_scaffold_6_pilon.478	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase
Dcor_evm.model.hic_scaffold_6_pilon.479	Ubiquitin carboxyl-terminal hydrolase isozyme L3
Dcor_evm.model.hic_scaffold_6_pilon.48	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.480	PREDICTED: dynein heavy chain 8, axonemal
Dcor_evm.model.hic_scaffold_6_pilon.481	Dynein heavy chain 5, axonemal
Dcor_evm.model.hic_scaffold_6_pilon.482	Dynein heavy chain 8, axonemal
Dcor_evm.model.hic_scaffold_6_pilon.483	Endoplasmic reticulum-Golgi intermediate compartment protein 2
Dcor_evm.model.hic_scaffold_6_pilon.484	Probable helicase senataxin
Dcor_evm.model.hic_scaffold_6_pilon.485	PREDICTED: uncharacterized protein LOC108557059 isoform X4
Dcor_evm.model.hic_scaffold_6_pilon.486	Protein claret segregational
Dcor_evm.model.hic_scaffold_6_pilon.487	Glutamate-rich WD repeat-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.488	Mismatch repair endonuclease PMS2
Dcor_evm.model.hic_scaffold_6_pilon.489	Ubiquitin-conjugating enzyme E2 W
Dcor_evm.model.hic_scaffold_6_pilon.49	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.490	Engulfment and cell motility protein 1
Dcor_evm.model.hic_scaffold_6_pilon.491	Transport and Golgi organization protein 2
Dcor_evm.model.hic_scaffold_6_pilon.492	U1 small nuclear ribonucleoprotein 70 kDa
Dcor_evm.model.hic_scaffold_6_pilon.493	PREDICTED: serologically defined colon cancer antigen 3 homolog
Dcor_evm.model.hic_scaffold_6_pilon.494	PREDICTED: ATM interactor-like isoform X2
Dcor_evm.model.hic_scaffold_6_pilon.495	hydrolase
Dcor_evm.model.hic_scaffold_6_pilon.496	Calcium-transporting ATPase type 2C member 1
Dcor_evm.model.hic_scaffold_6_pilon.497	Xylose isomerase
Dcor_evm.model.hic_scaffold_6_pilon.498	F-box only protein 32
Dcor_evm.model.hic_scaffold_6_pilon.499	Intraflagellar transport protein 172 homolog
Dcor_evm.model.hic_scaffold_6_pilon.5	Fatty acid hydroxylase domain-containing protein 2
Dcor_evm.model.hic_scaffold_6_pilon.50	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.500	GTP-binding protein REM 1
Dcor_evm.model.hic_scaffold_6_pilon.501	Serine protease HTRA2, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.502	39S ribosomal protein L38, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.503	PREDICTED: uncharacterized protein LOC108564629
Dcor_evm.model.hic_scaffold_6_pilon.504	ATP-dependent DNA helicase Q4
Dcor_evm.model.hic_scaffold_6_pilon.505	COMM domain-containing protein 4
Dcor_evm.model.hic_scaffold_6_pilon.506	Otoferlin
Dcor_evm.model.hic_scaffold_6_pilon.507	Otoferlin
Dcor_evm.model.hic_scaffold_6_pilon.508	FAD synthase
Dcor_evm.model.hic_scaffold_6_pilon.509	Probable RNA 3'-terminal phosphate cyclase-like protein
Dcor_evm.model.hic_scaffold_6_pilon.51	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.510	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.511	PREDICTED: keratin, type I cytoskeletal 9-like
Dcor_evm.model.hic_scaffold_6_pilon.512	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.513	PREDICTED: uncharacterized protein LOC103314863
Dcor_evm.model.hic_scaffold_6_pilon.514	uncharacterized protein LOC111509719
Dcor_evm.model.hic_scaffold_6_pilon.515	Small subunit processome component 20 homolog
Dcor_evm.model.hic_scaffold_6_pilon.516	Peptidoglycan-recognition protein SC1a/b 
Dcor_evm.model.hic_scaffold_6_pilon.517	Peptidoglycan-recognition protein LF 
Dcor_evm.model.hic_scaffold_6_pilon.518	Tryptophan 5-hydroxylase 1 
Dcor_evm.model.hic_scaffold_6_pilon.519	JNK-interacting protein 1 
Dcor_evm.model.hic_scaffold_6_pilon.52	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.520	Aryl hydrocarbon receptor nuclear translocator-like protein 1
Dcor_evm.model.hic_scaffold_6_pilon.521	Tyrosine 3-monooxygenase
Dcor_evm.model.hic_scaffold_6_pilon.522	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.523	Ras-like protein family member 11B
Dcor_evm.model.hic_scaffold_6_pilon.524	Glutamate receptor 1
Dcor_evm.model.hic_scaffold_6_pilon.525	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.526	Gamma-aminobutyric acid receptor subunit beta
Dcor_evm.model.hic_scaffold_6_pilon.527	39S ribosomal protein L42, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.528	Huntingtin-interacting protein K
Dcor_evm.model.hic_scaffold_6_pilon.529	DENN domain-containing protein 1A
Dcor_evm.model.hic_scaffold_6_pilon.53	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.530	Valine--tRNA ligase 
Dcor_evm.model.hic_scaffold_6_pilon.531	PREDICTED: uncharacterized protein LOC108569212
Dcor_evm.model.hic_scaffold_6_pilon.532	Nuclear pore complex protein Nup205
Dcor_evm.model.hic_scaffold_6_pilon.533	Nuclear pore complex protein Nup205
Dcor_evm.model.hic_scaffold_6_pilon.534	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C
Dcor_evm.model.hic_scaffold_6_pilon.535	Small ubiquitin-related modifier 2
Dcor_evm.model.hic_scaffold_6_pilon.536	Protein shuttle craft-like Protein
Dcor_evm.model.hic_scaffold_6_pilon.537	Neurabin-1
Dcor_evm.model.hic_scaffold_6_pilon.538	YTH domain-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.539	Ganglioside-induced differentiation-associated protein 1
Dcor_evm.model.hic_scaffold_6_pilon.54	PREDICTED: uncharacterized protein LOC105380875
Dcor_evm.model.hic_scaffold_6_pilon.540	Fat storage-inducing transmembrane protein
Dcor_evm.model.hic_scaffold_6_pilon.541	Craniofacial development protein 1
Dcor_evm.model.hic_scaffold_6_pilon.542	General odorant-binding protein 72 (Fragment)
Dcor_evm.model.hic_scaffold_6_pilon.543	Breast cancer anti-estrogen resistance protein 1
Dcor_evm.model.hic_scaffold_6_pilon.544	PREDICTED: uncharacterized protein LOC659949 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.545	Putative ATP-dependent RNA helicase TDRD12
Dcor_evm.model.hic_scaffold_6_pilon.546	Ubiquitin conjugation factor E4 A
Dcor_evm.model.hic_scaffold_6_pilon.547	uncharacterized protein LOC108735576
Dcor_evm.model.hic_scaffold_6_pilon.548	Protein APCDD1
Dcor_evm.model.hic_scaffold_6_pilon.549	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.55	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.550	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.551	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.552	Zinc finger homeobox protein 3
Dcor_evm.model.hic_scaffold_6_pilon.553	Methyltransferase-like protein 9
Dcor_evm.model.hic_scaffold_6_pilon.554	Methyltransferase-like protein 9
Dcor_evm.model.hic_scaffold_6_pilon.555	ATP synthase subunit d, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.556	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.557	PREDICTED: LETM1 domain-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.558	LETM1 domain-containing protein 1 isoform X2
Dcor_evm.model.hic_scaffold_6_pilon.559	Zinc finger CCCH domain-containing protein 3
Dcor_evm.model.hic_scaffold_6_pilon.56	Retrovirus-related Pol polyprotein from transposon 17.6
Dcor_evm.model.hic_scaffold_6_pilon.560	60S ribosomal protein L14
Dcor_evm.model.hic_scaffold_6_pilon.561	PREDICTED: uncharacterized protein LOC108564495
Dcor_evm.model.hic_scaffold_6_pilon.562	PREDICTED: uncharacterized protein LOC108564495
Dcor_evm.model.hic_scaffold_6_pilon.563	Zinc finger HIT domain-containing protein 3
Dcor_evm.model.hic_scaffold_6_pilon.564	leucine-rich repeat transmembrane neuronal protein 1-like
Dcor_evm.model.hic_scaffold_6_pilon.565	SLIT and NTRK-like protein 4
Dcor_evm.model.hic_scaffold_6_pilon.566	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.567	Syntaxin-17-like Protein
Dcor_evm.model.hic_scaffold_6_pilon.568	Protein lifeguard 1
Dcor_evm.model.hic_scaffold_6_pilon.569	Ras-related protein Rab-10
Dcor_evm.model.hic_scaffold_6_pilon.57	AP2-associated protein kinase 1
Dcor_evm.model.hic_scaffold_6_pilon.570	Protein tilB
Dcor_evm.model.hic_scaffold_6_pilon.571	PREDICTED: uncharacterized protein LOC108563804
Dcor_evm.model.hic_scaffold_6_pilon.572	PREDICTED: uncharacterized protein LOC108567537
Dcor_evm.model.hic_scaffold_6_pilon.573	Ribokinase
Dcor_evm.model.hic_scaffold_6_pilon.574	Heterogeneous nuclear ribonucleoprotein L
Dcor_evm.model.hic_scaffold_6_pilon.575	Protein stum
Dcor_evm.model.hic_scaffold_6_pilon.576	Cleavage and polyadenylation specificity factor subunit 1
Dcor_evm.model.hic_scaffold_6_pilon.577	PREDICTED: uncharacterized protein LOC108567549
Dcor_evm.model.hic_scaffold_6_pilon.578	Juvenile hormone epoxide hydrolase 1
Dcor_evm.model.hic_scaffold_6_pilon.579	F-box/WD repeat-containing protein 7
Dcor_evm.model.hic_scaffold_6_pilon.58	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.580	hypothetical protein AMK59_6761, partial
Dcor_evm.model.hic_scaffold_6_pilon.581	chemosensory ionotropic receptor 41a
Dcor_evm.model.hic_scaffold_6_pilon.582	PREDICTED: uncharacterized protein LOC108560465
Dcor_evm.model.hic_scaffold_6_pilon.583	PREDICTED: uncharacterized protein LOC108560465
Dcor_evm.model.hic_scaffold_6_pilon.584	hypothetical protein
